iter	Passed	Remaining
633	23236	13414
634	23265	13372
635	23292	13331
636	23329	13294
637	23371	13260
638	23408	13224
639	23447	13189
640	23482	13151
641	23523	13117
642	23560	13080
643	23599	13045
644	23648	13015
645	23682	12977
646	23711	12936
647	23745	12898
648	23780	12861
649	23815	12823
650	23854	12788
651	23883	12747
652	23914	12708
653	23956	12674
654	23991	12636
655	24025	12598
656	24064	12563
657	24095	12523
658	24126	12484
659	24159	12445
660	24194	12408
661	24227	12369
662	24258	12330
663	24291	12292
664	24326	12254
665	24358	12215
666	24390	12177
667	24422	12138
668	24451	12097
669	24493	12063
670	24530	12027
671	24566	11990
672	24595	11950
673	24629	11912
674	24664	11875
675	24701	11839
676	24730	11798
677	24763	11760
678	24804	11726
679	24840	11689
680	24874	11651
681	24903	11611
682	24938	11574
683	24972	11536
684	25003	11498
685	25041	11462
686	25078	11425
687	25114	11389
688	25144	11349
689	25192	11318
690	25230	11282
691	25261	11243
692	25297	11206
693	25325	11166
694	25367	11132
695	25402	11095
696	25429	11054
697	25467	11018
698	25501	10981
699	25530	10941
700	25568	10905
701	25611	10871
702	25655	10839
703	25690	10801
704	25721	10763
705	25754	10725
706	25790	10688
707	25827	10651
708	25856	10612
709	25888	10574
710	25920	10535
711	25955	10498
712	26009	10469
713	26048	10433
714	26078	10394
715	26109	10356
716	26145	10319
717	26172	10279
718	26208	10242
719	26246	10206
720	26279	10169
721	26319	10134
722	26353	10096
723	26386	10059
724	26422	10022
725	26460	9986
726	26495	9949
727	26539	9915
728	26569	9877
729	26601	9838
730	26628	9799
731	26663	9762
732	26695	9723
733	26729	9686
734	26764	9649
735	26796	9611
736	26828	9573
737	26860	9535
738	26890	9497
739	26925	9460
740	26961	9423
741	27008	9391
742	27041	9353
743	27071	9314
744	27103	9276
745	27134	9238
746	27177	9204
747	27210	9167
748	27241	9129
749	27283	9094
750	27319	9058
751	27361	9023
752	27400	8987
753	27432	8950
754	27472	8915
755	27515	8880
756	27547	8842
757	27591	8808
758	27622	8770
759	27653	8732
760	27691	8696
761	27722	8658
762	27754	8621
763	27790	8584
764	27826	8548
765	27857	8509
766	27896	8474
767	27925	8435
768	27958	8398
769	27992	8361
770	28020	8322
771	28049	8284
772	28090	8249
773	28118	8210
774	28151	8173
775	28184	8135
776	28214	8097
777	28248	8060
778	28277	8022
779	28306	7983
780	28342	7947
781	28382	7912
782	28409	7873
783	28451	7838
784	28482	7800
785	28516	7764
786	28546	7726
787	28576	7688
788	28610	7651
789	28649	7615
790	28686	7579
791	28716	7541
792	28752	7505
793	28780	7467
794	28812	7429
795	28842	7391
796	28889	7358
797	28919	7320
798	28954	7283
799	28991	7247
800	29022	7210
801	29059	7174
802	29090	7136
803	29126	7100
804	29157	7062
805	29201	7028
806	29240	6993
807	29274	6956
808	29307	6919
809	29335	6881
810	29370	6844
811	29406	6808
812	29436	6770
813	29468	6733
814	29499	6696
815	29528	6658
816	29569	6623
817	29601	6586
818	29635	6549
819	29666	6512
820	29705	6476
821	29742	6440
822	29794	6407
823	29830	6371
824	29866	6335
825	29901	6298
826	29933	6261
827	29966	6224
828	29999	6188
829	30042	6153
830	30074	6116
831	30110	6079
832	30145	6043
833	30184	6007
834	30220	5971
835	30259	5936
836	30290	5898
837	30326	5862
838	30363	5826
839	30393	5789
840	30436	5754
841	30467	5717
842	30494	5679
843	30528	5642
844	30557	5605
845	30590	5568
846	30632	5533
847	30668	5497
848	30696	5459
849	30733	5423
850	30765	5386
851	30801	5350
852	30827	5312
853	30859	5275
854	30887	5238
855	30917	5201
856	30962	5166
857	30998	5130
858	31042	5095
859	31069	5057
860	31099	5020
861	31133	4984
862	31163	4947
863	31202	4911
864	31234	4874
865	31273	4839
866	31306	4802
867	31339	4765
868	31373	4729
869	31413	4693
870	31442	4656
871	31476	4620
872	31510	4583
873	31539	4546
874	31575	4510
875	31611	4474
876	31652	4439
877	31686	4402
878	31718	4366
879	31749	4329
880	31789	4293
881	31815	4256
882	31846	4219
883	31887	4184
884	31931	4149
885	31991	4116
886	32027	4080
887	32075	4045
888	32115	4009
889	32144	3972
890	32177	3936
891	32212	3900
892	32255	3864
893	32283	3827
894	32319	3791
895	32350	3754
896	32380	3718
897	32411	3681
898	32450	3645
899	32493	3610
900	32537	3575
901	32574	3539
902	32612	3503
903	32648	3467
904	32679	3430
905	32708	3393
906	32744	3357
907	32801	3323
908	32838	3287
909	32884	3252
910	32920	3216
911	32965	3180
912	32992	3143
913	33027	3107
914	33061	3071
915	33095	3034
916	33133	2999
917	33169	2962
918	33215	2927
919	33261	2892
920	33293	2855
921	33335	2820
922	33377	2784
923	33427	2749
924	33459	2712
925	33490	2676
926	33521	2639
927	33556	2603
928	33588	2567
929	33619	2530
930	33660	2494
931	33696	2458
932	33750	2423
933	33782	2387
934	33838	2352
935	33881	2316
936	33920	2280
937	33948	2243
938	33981	2207
939	34016	2171
940	34048	2134
941	34089	2098
942	34123	2062
943	34156	2026
944	34192	1990
945	34233	1954
946	34267	1917
947	34298	1881
948	34329	1844
949	34366	1808
950	34406	1772
951	34448	1736
952	34485	1700
953	34515	1664
954	34548	1627
955	34583	1591
956	34624	1555
957	34654	1519
958	34690	1483
959	34729	1447
960	34766	1410
961	34802	1374
962	34835	1338
963	34870	1302
964	34904	1265
965	34941	1229
966	34975	1193
967	35018	1157
968	35054	1121
969	35096	1085
970	35138	1049
971	35170	1013
972	35203	976
973	35241	940
974	35276	904
975	35305	868
976	35342	832
977	35371	795
978	35398	759
979	35426	722
980	35474	687
981	35511	650
982	35550	614
983	35592	578
984	35631	542
985	35668	506
986	35702	470
987	35750	434
988	35780	397
989	35813	361
990	35858	325
991	35891	289
992	35938	253
993	35980	217
994	36019	181
995	36049	144
996	36081	108
997	36113	72
998	36142	36
999	36180	0
