iter	MultiClass
139	0.2585713211
140	0.2578120107
141	0.2567448566
142	0.2558113065
143	0.2548133543
144	0.2540390618
145	0.2531011079
146	0.2520335344
147	0.2512406249
148	0.2507025043
149	0.2500144928
150	0.2489025089
151	0.2479030888
152	0.2467290096
153	0.2458034515
154	0.2449113759
155	0.2440645029
156	0.2431847998
157	0.2420367004
158	0.2409449645
159	0.2404236434
160	0.2394558884
161	0.2385988798
162	0.2373671789
163	0.2365152265
164	0.2357757912
165	0.2347890465
166	0.2338785403
167	0.233136775
168	0.2321252155
169	0.2317531329
170	0.2308959145
171	0.2302603054
172	0.2295533275
173	0.2285732467
174	0.2281160713
175	0.2272951316
176	0.2266234769
177	0.2257602937
178	0.2249057316
179	0.2243357129
180	0.2235806664
181	0.223029917
182	0.2223762735
183	0.2215544017
184	0.2210294225
185	0.2203726101
186	0.2196641177
187	0.2185071176
188	0.2180523422
189	0.2172667024
190	0.216346247
191	0.2156233783
192	0.2151766881
193	0.2143102895
194	0.2136834413
195	0.2133008735
196	0.2124826832
197	0.2118992668
198	0.2110448678
199	0.2104052977
200	0.2099074167
201	0.2088445965
202	0.2079402416
203	0.2071210494
204	0.2063515334
205	0.2054705488
206	0.2047352377
207	0.2040155145
208	0.2034150655
209	0.2026238104
210	0.2022679681
211	0.2016232486
212	0.2012701091
213	0.2007722747
214	0.2000649939
215	0.1996422098
216	0.1989039861
217	0.1986120799
218	0.1980626819
219	0.1976890848
220	0.1972266669
221	0.1966511959
222	0.1961360494
223	0.1954959899
224	0.1948503384
225	0.1945184488
226	0.1937738875
227	0.1932186528
228	0.1924641655
229	0.1919266857
230	0.1912468875
231	0.1905282711
232	0.1897394159
233	0.1893013934
234	0.1887591952
235	0.1883791789
236	0.1874330699
237	0.186742006
238	0.1862398844
239	0.1857375065
240	0.1854016092
241	0.18502715
242	0.1844241846
243	0.1839455613
244	0.1834263256
245	0.1831342446
246	0.1825642143
247	0.1820934199
248	0.1815135684
249	0.1811991191
250	0.1807786884
251	0.1802857238
252	0.1796188689
253	0.1792880162
254	0.1787957623
255	0.1781338122
256	0.1776733049
257	0.1771387026
258	0.1767776877
259	0.1763791359
260	0.1758608555
261	0.1755083568
262	0.1750221842
263	0.1747025157
264	0.1744205936
265	0.1739819303
266	0.1733570743
267	0.1730423687
268	0.1726022259
269	0.1719463572
270	0.1716316516
271	0.1711137207
272	0.1707463564
273	0.1701941857
274	0.1697670794
275	0.1692645034
276	0.1688929684
277	0.1683721715
278	0.1678648073
279	0.1673304847
280	0.16703626
281	0.1664777633
282	0.1660160794
283	0.1657457259
284	0.165462697
285	0.1650282046
286	0.1646866453
287	0.1644401863
288	0.1638857555
289	0.163171205
290	0.1627732357
291	0.1625312154
292	0.1621334326
293	0.1618867988
294	0.161520716
295	0.1613888596
296	0.1611197177
297	0.1608270892
298	0.1604895726
299	0.160214594
300	0.1597906449
301	0.1595953067
302	0.1593036684
303	0.1587389039
304	0.1583958302
305	0.1582468364
306	0.157951971
307	0.1573286178
308	0.1567552555
309	0.1565420228
310	0.1561718508
311	0.1558548734
312	0.1554993573
313	0.1552261612
314	0.1550150487
315	0.1546305471
316	0.1542821842
317	0.153682609
318	0.1529004643
319	0.1525049066
320	0.1520697034
321	0.1517799991
322	0.1511397532
323	0.1507750451
324	0.1501922578
325	0.1497975273
326	0.1494928525
327	0.1491195233
328	0.1489483126
329	0.1486342711
330	0.1481157927
331	0.1480403812
332	0.1478966766
333	0.1474844126
334	0.1473193765
335	0.1468925032
336	0.1465814324
337	0.1463414043
338	0.1460290171
339	0.1457300741
340	0.1455001234
341	0.144907049
342	0.1445224425
343	0.1441865918
344	0.1437848479
345	0.1434144196
346	0.1429159911
347	0.1426134366
348	0.1421801208
349	0.1420381404
350	0.1416681198
351	0.1414482814
352	0.1410878839
353	0.1408793811
354	0.1404760411
355	0.1403198708
356	0.140055424
357	0.1397135968
358	0.1394923021
359	0.1392062909
360	0.1389271765
361	0.1387536125
362	0.13846378
363	0.1381143336
364	0.137802657
365	0.1375415421
366	0.1372541095
367	0.1368585518
368	0.1366708562
369	0.1363553467
370	0.1359112196
371	0.1357708236
372	0.1354577257
373	0.1352596148
374	0.1349597049
375	0.1346050859
376	0.1342245103
377	0.133847989
378	0.1335376522
379	0.1334504158
380	0.1331884155
381	0.1330340044
382	0.1326250141
383	0.1323590061
384	0.1319995523
385	0.1316201417
386	0.131461222
387	0.1311928956
388	0.1309123366
389	0.1306778656
390	0.1304376511
391	0.1300385984
392	0.1296624848
393	0.1293664078
394	0.1291861449
395	0.1288218679
396	0.1285273404
397	0.1282294227
398	0.1280853336
399	0.1275493449
400	0.1271709013
401	0.1271061381
402	0.1267535579
403	0.1265409659
404	0.1261144304
405	0.1258697655
406	0.1253665721
407	0.125216856
408	0.1248625282
409	0.124637156
410	0.1244559145
411	0.1240703876
412	0.1238134784
413	0.1236687136
414	0.1233959136
415	0.1232454053
416	0.1230998832
417	0.1228480651
418	0.1225213948
419	0.1223107484
420	0.1220825685
421	0.1218231428
422	0.1215122934
423	0.1212599627
424	0.1210275305
425	0.1208833133
426	0.1206929381
427	0.1201693685
428	0.1199304006
429	0.1196800038
430	0.119210258
431	0.1188511653
432	0.1186221
433	0.118428521
434	0.1180696031
435	0.1177936459
436	0.1175251797
437	0.1173515924
438	0.1171731703
439	0.1169439768
440	0.1166445446
441	0.1164388378
442	0.1161992524
443	0.1161396852
444	0.1157597154
445	0.1153867008
446	0.1151579034
447	0.1148952507
448	0.1147000756
449	0.114416208
450	0.1143049607
451	0.1140936735
452	0.113730643
453	0.1135578247
454	0.1133903537
455	0.1131463645
456	0.1128839681
457	0.1126501845
458	0.1125008761
459	0.1121751844
460	0.1117963214
461	0.1115510623
462	0.1111550853
463	0.1107864394
464	0.1105701194
465	0.1103460403
466	0.1101338794
467	0.1100083723
468	0.1097877766
469	0.1095336052
470	0.1093318012
471	0.1091694796
472	0.1088795539
473	0.1085428645
474	0.1083749741
475	0.1080500047
476	0.1079100164
477	0.1076870791
478	0.1075240235
479	0.1072825042
480	0.1070135255
481	0.1067963666
482	0.1065750137
483	0.1064186103
484	0.1061696582
485	0.1059834771
486	0.1057765121
487	0.1055576756
488	0.105428557
489	0.1052136
490	0.1049846512
491	0.1046703067
492	0.1044731744
493	0.1043012531
494	0.104013005
495	0.1037233472
496	0.1034675448
497	0.103281888
498	0.103100565
499	0.1028416286
500	0.1026668763
501	0.1024883494
502	0.1022594122
503	0.1020873278
504	0.101954551
505	0.1017966681
506	0.1015430209
507	0.1013235204
508	0.1011176855
509	0.1009140408
510	0.1006353342
511	0.100524215
512	0.1002670495
513	0.1001174499
514	0.09998897196
515	0.09964071391
516	0.09954320213
517	0.09944121668
518	0.09925215798
519	0.09897540858
520	0.09877875398
521	0.09872286819
522	0.09847518592
523	0.09828876016
524	0.09797577877
525	0.09781140675
526	0.09751425792
527	0.09732061489
528	0.09688855728
529	0.09677844585
530	0.09656285976
531	0.09637157588
532	0.09622434124
533	0.09591306077
534	0.09584878105
535	0.09577209974
536	0.0956296766
537	0.095451138
538	0.09529423372
539	0.09504222924
540	0.09472984784
541	0.09453731158
542	0.09438723429
543	0.09427630735
544	0.09406666283
545	0.09392492706
546	0.09383420731
547	0.0935440311
548	0.09327497663
549	0.09306181958
550	0.09293720371
551	0.09269094276
552	0.09248940092
553	0.09233917219
554	0.09204125445
555	0.09197589126
556	0.09174350565
557	0.09149346422
558	0.09131649255
559	0.09115152638
560	0.09101540598
561	0.09083954108
562	0.09069545198
563	0.09060723119
564	0.09055835296
565	0.09041232411
566	0.09028243072
567	0.09011193654
568	0.08983524539
569	0.08966883459
570	0.08958884463
571	0.08946072207
572	0.08935106499
573	0.0892756652
574	0.08909132481
575	0.08897552228
576	0.08882734397
577	0.08863613
578	0.08857668509
579	0.08847044733
580	0.08819235234
581	0.08809496287
582	0.08792940254
583	0.0878115088
584	0.08761112616
585	0.08750202247
586	0.08739293043
587	0.08724616179
588	0.08702135459
589	0.08679551053
590	0.08668735633
591	0.08652201152
592	0.08636044136
593	0.08626763624
594	0.08607331167
595	0.0857783589
596	0.08562603896
597	0.08539621055
598	0.08525328064
599	0.08504410795
600	0.08485385511
601	0.08455632766
602	0.08438791886
603	0.08429034299
604	0.08415192751
605	0.08399108549
606	0.0838540389
607	0.08372217081
608	0.08352866758
609	0.08340945738
610	0.08317759019
611	0.08311174935
612	0.08304267559
613	0.08293539514
614	0.08278904591
615	0.08262084099
616	0.08241233236
617	0.08211373891
618	0.08198301254
619	0.08185535015
620	0.08167752803
621	0.08150229224
622	0.08123484548
623	0.08104915368
624	0.08089058926
625	0.08071118271
626	0.08040577975
627	0.08019961863
628	0.08009880985
629	0.0799989855
630	0.0798378697
631	0.07967188413
632	0.07950707523
633	0.07944393722
634	0.07930906339
635	0.07923202092
636	0.07906217333
637	0.07891785705
638	0.07883362644
639	0.07874348337
640	0.07860749112
641	0.07833549498
642	0.07816423772
643	0.07799748907
644	0.07794738758
645	0.07778280585
646	0.07762569188
647	0.07751006993
648	0.07739137816
649	0.07730689124
650	0.07720418349
651	0.0771165918
652	0.07705504987
653	0.07691885957
654	0.07672380687
655	0.07656273766
656	0.07639270949
657	0.07617934857
658	0.07598591524
659	0.07584216399
660	0.07574802493
661	0.07558010543
662	0.07543406493
663	0.07525098276
664	0.07513984029
665	0.07508536417
666	0.07493369082
667	0.07481522623
668	0.07467178371
669	0.0745044875
670	0.07438880147
671	0.07422403334
672	0.0741507364
673	0.07392623211
674	0.07378472352
675	0.07370284624
676	0.07356133764
677	0.07345450573
678	0.07332563173
679	0.07315234151
680	0.07293626028
681	0.07288280938
682	0.07274139398
683	0.07259045459
684	0.07246123108
685	0.07219469886
686	0.071968482
687	0.0719139418
688	0.07184535152
689	0.07180430221
690	0.07162260641
691	0.07151206392
692	0.07139121687
693	0.07131072596
694	0.07116621163
695	0.0710584244
696	0.07095787193
697	0.07080319283
698	0.07071332937
699	0.07063900139
700	0.07057750023
701	0.0704793302
702	0.07036831589
703	0.07024104378
704	0.0701122222
705	0.06999274988
706	0.06993799415
707	0.06979395165
708	0.06967463077
709	0.06946491053
710	0.06933876849
711	0.0692132439
712	0.0691240911
713	0.06900089655
714	0.06888433093
715	0.06875591129
716	0.06869955949
717	0.06855286658
718	0.06844305223
719	0.06829231089
720	0.06816085055
721	0.06801118685
722	0.06793229201
723	0.06784407704
724	0.06768020598
725	0.06753930319
726	0.06743571002
727	0.06729064813
728	0.06722053168
729	0.06711752102
730	0.0670741941
731	0.06702778571
732	0.06693833583
733	0.06686471268
734	0.06664951104
735	0.06655255846
736	0.06640161324
737	0.06635045159
738	0.06629746669
739	0.06620120729
740	0.0660785137
741	0.06598495131
742	0.06590964472
743	0.0658463902
744	0.06576874775
745	0.06573105368
746	0.06559848075
747	0.06554251924
748	0.06532728265
749	0.06517191619
750	0.06507165497
751	0.06487180241
752	0.06480219856
753	0.06467555556
754	0.06449055694
755	0.06433111294
756	0.06426693807
757	0.06403497185
758	0.06391978095
759	0.06384158512
760	0.06371974199
761	0.06365670883
762	0.06352824841
763	0.06333906738
764	0.06323495578
765	0.06317298861
766	0.06311187773
767	0.06306142674
768	0.06296340235
769	0.06285348314
770	0.06275823731
771	0.06270286413
772	0.06257791623
773	0.06253684361
774	0.06236293594
775	0.06227778496
776	0.0621514274
777	0.06206990544
778	0.06199643375
779	0.06189898604
780	0.06177911178
781	0.06165596383
782	0.06158553282
783	0.06141872009
784	0.06134301739
785	0.06114561718
786	0.06104511713
787	0.06093975896
788	0.0608175838
789	0.06066164649
790	0.06057307037
791	0.06047644982
792	0.06024930677
793	0.06013318386
794	0.06004282527
795	0.06001297175
796	0.05989571295
797	0.05982111119
798	0.05975617906
799	0.05964597442
800	0.05959303613
801	0.05948043739
802	0.05939238552
803	0.05926031356
804	0.05920431127
805	0.05913234244
806	0.05896801702
807	0.05877705935
808	0.05873670904
809	0.05867125265
810	0.05852836934
811	0.05838496177
812	0.05829810404
813	0.05815328098
814	0.05804402584
815	0.05793080964
816	0.05779867942
817	0.05768519527
818	0.05754615651
819	0.05742744727
820	0.05731784845
821	0.05722992473
822	0.05713224984
823	0.05703367789
824	0.05693337589
825	0.05685130638
826	0.05669504869
827	0.05661817515
828	0.05650527351
829	0.05634116362
830	0.05625175451
831	0.05616596278
832	0.05607216157
833	0.05585192706
834	0.05573695169
835	0.05560953395
836	0.05551007077
837	0.05539910305
838	0.05527624053
839	0.05517713849
840	0.05503503574
841	0.05493652204
842	0.05483617344
843	0.05475649804
844	0.05468061476
845	0.0546121002
846	0.05451067396
847	0.05434370396
848	0.05427848057
849	0.05419870614
850	0.05414128836
851	0.0540802532
852	0.05403690298
853	0.05389615165
854	0.05380025923
855	0.05367556181
856	0.05356886387
857	0.0534689405
858	0.05334695757
859	0.05327994006
860	0.0531961405
861	0.05313201223
862	0.05304759521
863	0.052989892
864	0.05292468026
865	0.05283181106
866	0.05272662182
867	0.0526779067
868	0.05263417203
869	0.0525357224
870	0.05243858924
871	0.05231566847
872	0.05224826068
873	0.05218769735
874	0.05206616295
875	0.05203212702
876	0.05188830005
877	0.05177237519
878	0.05164600015
879	0.05159610254
880	0.05152158815
881	0.05147575645
882	0.05142662775
883	0.05135036002
884	0.05132897616
885	0.05117426212
886	0.05107166504
887	0.05094333859
888	0.05083093791
889	0.05080425323
890	0.05076680381
891	0.05070601331
892	0.05069008755
893	0.05060148813
894	0.05046063776
895	0.0503802284
896	0.05032337565
897	0.0502327025
898	0.05008651637
899	0.05000982341
900	0.04993952056
901	0.04981573185
902	0.04973854958
903	0.04962990024
904	0.04956968642
905	0.04950433488
906	0.04939584865
907	0.04926149907
908	0.04919589706
909	0.04913390076
910	0.04901530802
911	0.04890199863
912	0.04886500939
913	0.04875262909
914	0.04870131307
915	0.04864140798
916	0.04859599568
917	0.04853101404
918	0.04847638647
919	0.04838943554
920	0.0483367186
921	0.0482651051
922	0.04822036851
923	0.04810516888
924	0.04805132769
925	0.04798675671
926	0.04793497469
927	0.04786622422
928	0.04782366038
929	0.04772913977
930	0.04764526449
931	0.04754988468
932	0.04744453525
933	0.04738470588
934	0.04724796803
935	0.0471278695
936	0.04705522788
937	0.0470033847
938	0.04693130519
939	0.04685580346
940	0.04677016609
941	0.04669448378
942	0.04659912727
943	0.04650465035
944	0.04644277638
945	0.04631481109
946	0.04624545772
947	0.04619135732
948	0.0461304474
949	0.04604324891
950	0.04595998818
951	0.04589364346
952	0.04582949771
953	0.04576606263
954	0.04570893318
955	0.04564596119
956	0.04560845643
957	0.04557403605
958	0.04546399744
959	0.04538537929
960	0.04529116449
961	0.04517336687
962	0.04509447203
963	0.04503801247
964	0.04496179134
965	0.04490068046
966	0.04482995237
967	0.04475118277
968	0.04467284131
969	0.04463906751
970	0.04456711325
971	0.04445328834
972	0.04440985074
973	0.0442960666
974	0.04419658011
975	0.0441779952
976	0.0441117
977	0.04407536899
978	0.04400345259
979	0.04397661646
980	0.04392513152
981	0.04378572869
982	0.043746357
983	0.0436810375
984	0.04360988418
985	0.04354875291
986	0.04345264788
987	0.04333851423
988	0.04329036706
989	0.04321526143
990	0.04311674482
991	0.04307531687
992	0.04301739813
993	0.04297982638
994	0.04280954773
995	0.04272487733
996	0.04269282193
997	0.04261957741
998	0.04259143647
999	0.04252087731
